Sr.,Date,open ,high,low,close
394,06/04 13:37,2232.4,2232.75,2231.45,2232.4
395,06/04 13:36,2233.35,2233.35,2232.2,2232.4
396,06/04 13:35,2232.8,2233.35,2232.8,2233.35
397,06/04 13:34,2232.4,2233.3,2231.9,2232.8
398,06/04 13:33,2232.85,2233.8,2232.85,2233.8
399,06/04 13:32,2233.9,2233.9,2232.55,2232.85
400,06/04 13:31,2234.8,2234.8,2233.9,2233.9
401,06/04 13:30,2234.2,2234.8,2233.75,2234.8
402,06/04 13:29,2234.6,2234.6,2233.8,2234.2
403,06/04 13:28,2232.9,2234.6,2232.9,2234.6
404,06/04 13:27,2234.3,2234.3,2232.9,2232.9
405,06/04 13:26,2232.4,2234.3,2232.4,2234.3
406,06/04 13:25,2233.65,2233.65,2232.4,2232.4
407,06/04 13:24,2234.45,2234.75,2232.45,2233.65
408,06/04 13:23,2236.2,2236.2,2234.45,2234.45
409,06/04 13:22,2235.25,2236.2,2235.25,2236.2
410,06/04 13:21,2232.45,2235.7,2232.45,2235.25
411,06/04 13:20,2232.85,2233.15,2232.4,2232.45
412,06/04 13:19,2235.85,2235.85,2232.45,2232.85
413,06/04 13:18,2236.2,2236.85,2235.85,2235.85
414,06/04 13:17,2235.25,2236.2,2235.25,2236.2
415,06/04 13:16,2235.0,2236.1,2234.4,2235.25
416,06/04 13:15,2232.9,2235.0,2232.9,2235.0
417,06/04 13:14,2234.35,2234.35,2232.4,2232.9
418,06/04 13:13,2234.75,2234.75,2233.35,2234.35
419,06/04 13:12,2234.1,2234.35,2233.9,2234.35
420,06/04 13:11,2236.45,2236.45,2234.1,2234.1
421,06/04 13:10,2237.15,2237.15,2235.25,2236.45
422,06/04 13:09,2236.7,2237.3,2236.2,2237.15
423,06/04 13:08,2238.05,2238.05,2236.7,2236.7
424,06/04 13:07,2237.65,2239.05,2237.65,2238.05
425,06/04 13:06,2238.25,2238.65,2237.15,2237.65
426,06/04 13:05,2238.1,2238.75,2238.1,2238.25
427,06/04 13:04,2239.1,2239.9,2238.15,2238.15
428,06/04 13:03,2238.85,2240.0,2238.7,2239.1
429,06/04 13:02,2237.6,2238.85,2237.15,2238.85
430,06/04 13:01,2239.45,2239.85,2237.6,2237.6
431,06/04 13:00,2239.9,2240.35,2239.4,2239.45
432,06/04 12:59,2239.7,2240.05,2239.05,2239.9
433,06/04 12:58,2240.75,2240.75,2238.25,2239.7
434,06/04 12:57,2240.0,2240.75,2239.4,2240.75
435,06/04 12:56,2238.9,2240.0,2238.85,2240.0
436,06/04 12:55,2239.05,2240.0,2238.9,2238.9
437,06/04 12:54,2239.55,2240.0,2239.05,2239.05
438,06/04 12:53,2239.05,2240.0,2239.05,2239.55
439,06/04 12:52,2239.05,2239.9,2238.7,2239.9
440,06/04 12:51,2239.0,2239.05,2237.4,2239.05
441,06/04 12:50,2237.9,2239.4,2237.9,2239.0
442,06/04 12:49,2237.15,2238.9,2236.9,2238.25
443,06/04 12:48,2238.6,2238.6,2236.75,2237.15
444,06/04 12:47,2237.3,2239.0,2236.6,2238.6
445,06/04 12:46,2239.45,2239.45,2235.4,2237.3
446,06/04 12:45,2237.95,2239.8,2237.55,2239.45
447,06/04 12:44,2233.9,2237.85,2233.9,2236.9
448,06/04 12:43,2234.75,2234.75,2232.4,2233.8
449,06/04 12:42,2232.35,2234.75,2231.1,2234.75
450,06/04 12:41,2232.15,2233.5,2231.7,2232.35
451,06/04 12:40,2236.85,2236.85,2230.95,2232.15
452,06/04 12:39,2237.35,2237.35,2235.85,2236.85
453,06/04 12:38,2235.7,2237.35,2235.7,2237.35
454,06/04 12:37,2236.35,2237.3,2235.7,2235.7
455,06/04 12:36,2234.4,2236.7,2234.4,2236.35
456,06/04 12:35,2232.8,2234.4,2232.65,2234.4
457,06/04 12:34,2229.55,2233.8,2229.2,2232.8
458,06/04 12:33,2230.5,2231.2,2229.55,2229.55
459,06/04 12:32,2232.8,2233.9,2229.55,2230.5
460,06/04 12:31,2235.25,2235.5,2232.8,2232.8
461,06/04 12:30,2234.1,2236.15,2234.05,2235.25
462,06/04 12:29,2231.55,2235.3,2231.55,2234.1
463,06/04 12:28,2234.8,2235.1,2231.55,2231.55
464,06/04 12:27,2232.6,2234.8,2232.6,2234.8
465,06/04 12:26,2228.6,2232.6,2228.6,2232.6
466,06/04 12:25,2230.15,2230.45,2228.6,2228.6
467,06/04 12:24,2234.65,2234.65,2230.15,2230.15
468,06/04 12:23,2234.3,2236.05,2233.1,2234.65
469,06/04 12:22,2230.85,2234.3,2230.85,2233.1
470,06/04 12:21,2230.5,2230.85,2230.5,2230.85
471,06/04 12:20,2230.5,2230.5,2230.05,2230.5
472,06/04 12:19,2229.55,2230.5,2228.85,2230.5
473,06/04 12:18,2229.6,2229.6,2229.55,2229.55
474,06/04 12:17,2230.0,2230.0,2228.25,2229.6
475,06/04 12:16,2230.5,2230.5,2230.0,2230.0
476,06/04 12:15,2229.55,2230.5,2229.25,2230.5
477,06/04 12:14,2229.85,2230.85,2229.55,2229.55
478,06/04 12:13,2230.5,2230.5,2229.85,2229.85
479,06/04 12:12,2230.05,2230.55,2229.75,2230.5
480,06/04 12:11,2230.85,2231.0,2230.05,2230.05
481,06/04 12:10,2229.95,2230.85,2229.95,2230.85
482,06/04 12:09,2231.2,2231.2,2229.95,2229.95
483,06/04 12:08,2230.5,2231.35,2229.85,2231.2
484,06/04 12:07,2231.25,2231.25,2230.5,2230.5
485,06/04 12:06,2231.7,2232.4,2230.6,2230.6
486,06/04 12:05,2230.7,2232.4,2230.7,2231.7
487,06/04 12:04,2230.5,2231.75,2229.85,2230.7
488,06/04 12:03,2230.0,2231.7,2229.85,2229.85
489,06/04 12:02,2230.15,2231.25,2230.0,2230.0
490,06/04 12:01,2230.05,2231.3,2230.05,2231.3
491,06/04 12:00,2229.85,2230.4,2229.85,2230.05
492,06/04 11:59,2229.8,2230.75,2229.8,2229.85
493,06/04 11:58,2230.9,2230.9,2229.8,2229.8
494,06/04 11:57,2230.9,2230.9,2229.8,2230.9
495,06/04 11:56,2229.75,2231.05,2229.75,2230.9
496,06/04 11:55,2231.45,2231.45,2229.75,2229.75
497,06/04 11:54,2231.6,2231.6,2231.45,2231.45
498,06/04 11:53,2230.6,2231.65,2230.6,2231.6
499,06/04 11:52,2231.45,2231.55,2230.5,2230.6
500,06/04 11:51,2230.55,2231.45,2230.1,2231.45
